"source_city","target_region","numdup","rank"
"053. Abu Dhabi","Aus. & N.Z.",6,53
"053. Abu Dhabi","C. Asia",4,53
"053. Abu Dhabi","E. Africa",6,53
"053. Abu Dhabi","E. Asia",17,53
"053. Abu Dhabi","E. Europe",4,53
"053. Abu Dhabi","N. Africa",9,53
"053. Abu Dhabi","N. America",8,53
"053. Abu Dhabi","N. Europe",8,53
"053. Abu Dhabi","S. Africa",4,53
"053. Abu Dhabi","S. America",1,53
"053. Abu Dhabi","S. Asia",59,53
"053. Abu Dhabi","S. Europe",8,53
"053. Abu Dhabi","S.E. Asia",22,53
"053. Abu Dhabi","W. Africa",1,53
"053. Abu Dhabi","W. Asia",56,53
"053. Abu Dhabi","W. Europe",27,53
"090. Alicante","E. Europe",8,90
"090. Alicante","N. Africa",4,90
"090. Alicante","N. Europe",95,90
"090. Alicante","S. Europe",17,90
"090. Alicante","W. Europe",33,90
"013. Amsterdam","C. America",3,13
"013. Amsterdam","C. Asia",2,13
"013. Amsterdam","Caribbean",11,13
"013. Amsterdam","E. Africa",12,13
"013. Amsterdam","E. Asia",22,13
"013. Amsterdam","E. Europe",19,13
"013. Amsterdam","Mid. Africa",1,13
"013. Amsterdam","N. Africa",10,13
"013. Amsterdam","N. America",49,13
"013. Amsterdam","N. Europe",92,13
"013. Amsterdam","S. Africa",3,13
"013. Amsterdam","S. America",9,13
"013. Amsterdam","S. Asia",4,13
"013. Amsterdam","S. Europe",99,13
"013. Amsterdam","S.E. Asia",8,13
"013. Amsterdam","W. Africa",3,13
"013. Amsterdam","W. Asia",42,13
"013. Amsterdam","W. Europe",61,13
"068. Athens","E. Europe",19,68
"068. Athens","N. Africa",4,68
"068. Athens","N. America",5,68
"068. Athens","N. Europe",20,68
"068. Athens","S. Europe",90,68
"068. Athens","W. Asia",19,68
"068. Athens","W. Europe",38,68
"002. Atlanta","C. America",53,2
"002. Atlanta","Caribbean",32,2
"002. Atlanta","E. Asia",3,2
"002. Atlanta","N. America",765,2
"002. Atlanta","N. Europe",15,2
"002. Atlanta","S. Africa",1,2
"002. Atlanta","S. America",11,2
"002. Atlanta","S. Europe",9,2
"002. Atlanta","W. Africa",1,2
"002. Atlanta","W. Asia",1,2
"002. Atlanta","W. Europe",24,2
"100. Baltimore","C. America",1,100
"100. Baltimore","Caribbean",7,100
"100. Baltimore","N. America",130,100
"100. Baltimore","N. Europe",4,100
"018. Bangkok","Aus. & N.Z.",13,18
"018. Bangkok","C. Asia",2,18
"018. Bangkok","E. Africa",7,18
"018. Bangkok","E. Asia",107,18
"018. Bangkok","E. Europe",9,18
"018. Bangkok","N. Africa",3,18
"018. Bangkok","N. Europe",13,18
"018. Bangkok","S. Africa",2,18
"018. Bangkok","S. Asia",36,18
"018. Bangkok","S. Europe",3,18
"018. Bangkok","S.E. Asia",162,18
"018. Bangkok","W. Asia",17,18
"018. Bangkok","W. Europe",17,18
"020. Barcelona","E. Europe",38,20
"020. Barcelona","N. Africa",25,20
"020. Barcelona","N. America",21,20
"020. Barcelona","N. Europe",67,20
"020. Barcelona","S. America",3,20
"020. Barcelona","S. Asia",2,20
"020. Barcelona","S. Europe",124,20
"020. Barcelona","S.E. Asia",1,20
"020. Barcelona","W. Africa",5,20
"020. Barcelona","W. Asia",9,20
"020. Barcelona","W. Europe",94,20
"008. Beijing","Aus. & N.Z.",1,8
"008. Beijing","C. Asia",5,8
"008. Beijing","E. Africa",3,8
"008. Beijing","E. Asia",445,8
"008. Beijing","E. Europe",24,8
"008. Beijing","Micronesia",1,8
"008. Beijing","Mid. Africa",1,8
"008. Beijing","N. Africa",3,8
"008. Beijing","N. America",36,8
"008. Beijing","N. Europe",11,8
"008. Beijing","S. Africa",2,8
"008. Beijing","S. Asia",7,8
"008. Beijing","S. Europe",4,8
"008. Beijing","S.E. Asia",19,8
"008. Beijing","W. Asia",10,8
"008. Beijing","W. Europe",20,8
"036. Berlin","E. Asia",2,36
"036. Berlin","E. Europe",25,36
"036. Berlin","N. Africa",5,36
"036. Berlin","N. America",8,36
"036. Berlin","N. Europe",53,36
"036. Berlin","S. Europe",105,36
"036. Berlin","W. Asia",22,36
"036. Berlin","W. Europe",68,36
"093. Bogota","C. America",11,93
"093. Bogota","Caribbean",10,93
"093. Bogota","N. America",28,93
"093. Bogota","S. America",97,93
"093. Bogota","S. Europe",3,93
"093. Bogota","W. Europe",3,93
"063. Boston","C. America",7,63
